data_ref_corpus_2025,data_ref_pascoa_2026,data_ref_maio_2026,data_atual,dia_da_semana,antecedencia,rota_principal,sentido,tipo_assento,turno,buscas_corpus_2025,buscas_pascoa_2026,buscas_maio_2026,buscas_corpus_2026,pax_atual,capacidade_atual,vagas_restantes,ocupacao_atual,lf_corpus_2025,lf_pascoa_2026,lf_maio_2026,lf_atual,ratio_lf_corpus_2025,ratio_lf_pascoa_2026,ratio_lf_maio_2026,price_cc,tkm_corpus_2025,tkm_pascoa_2026,tkm_maio_2026,tkm_atual,mult_atual_aplicado,data_atualizacao,preco_cenario_atual,mult_flutuacao,preco_flutuacao,preco_maximo_feriado
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,MCE-SAO,MCE-SAO,semi leito,NOITE,117.0,98.0,84.0,35.0,19.0,44.0,25.0,0.4318,0.6094,0.4362,0.0,0.4081,0.6696,0.9355,,206.29666666666665,96.50999999999999,126.09,,98.85,1.0,,133.9,1.2069894202734375,161.62,284.28
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,MCE-SAO,SAO-MCE,semi leito,NOITE,58.0,95.0,53.0,48.0,17.0,44.0,27.0,0.3864,0.3838,0.5307,0.0,0.3686,0.9603,0.6945,,212.26,96.50999999999999,126.09,,87.49,1.0,,133.9,0.9503998541005882,127.26,284.28
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,OLP-SAO,OLP-SAO,semi leito,NOITE,90.0,56.0,92.0,36.0,15.0,46.0,31.0,0.3261,0.4006,0.3688,0.5386,0.2497,0.6233,0.677,0.4635,213.625,57.94,89.81,89.96,79.03,1.126366666666666,,144.9,0.9974999364106127,144.54,242.55
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,OLP-SAO,SAO-OLP,semi leito,NOITE,122.0,204.0,209.0,74.0,16.0,46.0,30.0,0.3478,0.3932,0.0,0.0,0.2745,0.698,,,206.44999999999996,57.94,89.81,89.96,61.59,1.0,,104.9,1.1025,115.65,242.55
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,PAS-SAO,PAS-SAO,semi leito,NOITE,63.0,130.0,81.0,33.0,10.0,46.0,36.0,0.2174,0.2676,0.497,0.5234,0.1934,0.7227,0.3892,0.3695,232.105,86.93,144.49,83.57,84.8,1.157894736842106,,126.9,1.0,126.9,273.24
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,PAS-SAO,SAO-PAS,semi leito,NOITE,67.0,114.0,87.0,48.0,,,,0.0,0.3429,0.4418,0.5119,0.2364,0.6893,0.535,0.4618,,86.93,144.49,83.57,,1.0,,98.9,1.05,103.85,273.24
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,PNV-SAO,SAO-PNV,semi leito,NOITE,39.0,32.0,38.0,46.0,17.0,45.0,28.0,0.3778,0.5232,0.3614,0.3305,0.342,0.6537,0.9463,1.0348,285.9,139.57,189.32,150.59,144.61,1.2144,2026-05-20 21:04:34.213813,184.9,1.2584010624609374,232.68,421.8
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,QAK-SAO,QAK-SAO,semi leito,NOITE,66.0,117.0,47.0,46.0,30.0,60.0,30.0,0.5,0.3815,0.6158,0.0,0.3821,1.0017,0.6206,,168.15333333333334,114.345,165.7,129.12,123.57,1.1047,2026-05-20 21:04:34.213813,129.9,1.2069894202734375,156.79,284.0
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,QAK-SAO,SAO-QAK,semi leito,NOITE,105.0,193.0,59.0,73.0,19.0,60.0,41.0,0.3167,0.3945,0.5221,0.3786,0.2976,0.7545,0.5701,0.7861,208.87666666666667,114.345,165.7,129.12,161.74,1.5495,2026-05-20 21:04:34.213813,171.9,1.2584,216.32,284.0
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,QDC-SAO,QDC-SAO,semi leito,NOITE,35.0,45.0,29.0,29.0,11.0,45.0,34.0,0.2444,0.183,0.3254,0.3655,0.1624,0.8875,0.499,0.4443,292.99,115.435,173.73,142.47,104.81,1.1207692307692323,,179.9,0.9974999999999999,179.45,256.0
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,QDC-SAO,SAO-QDC,semi leito,NOITE,74.0,63.0,45.0,27.0,15.0,42.0,27.0,0.3571,0.3569,0.2905,0.3195,0.2574,0.7212,0.8859,0.8056,306.1976923076923,115.435,173.73,142.47,128.83,1.1789,2026-05-20 21:04:34.213813,179.9,1.1,197.89,256.0
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,RAO-RIO,RIO-RAO,semi leito,NOITE,178.0,252.0,176.0,182.0,20.0,53.0,33.0,0.3774,0.3134,0.6893,0.0,0.3407,1.0871,0.4943,,241.8464285714286,145.69,167.62,176.41,159.25,1.1056,2026-05-20 21:04:34.213813,175.9,0.9996,175.83,359.66
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,RAO-SAO,RAO-SAO,semi leito,NOITE,615.0,699.0,813.0,403.0,9.0,44.0,35.0,0.2045,0.5755,0.4216,0.5462,0.2453,0.4262,0.5817,0.4491,153.0315789473684,76.95,108.27,95.03,67.12,1.0434351046698884,,94.9,0.9499999657026663,90.15,148.52
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,RAO-SAO,SAO-RAO,semi leito,NOITE,528.0,775.0,625.0,341.0,,,,0.0,0.2842,0.4495,0.3904,0.2827,0.9948,0.629,0.7243,158.82181818181823,76.95,108.27,95.03,,1.1686,2026-05-20 21:04:34.213813,100.9,1.1025,111.24,148.52
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,RIO-SAO,RIO-SAO,semi leito,NOITE,1887.0,1725.0,1705.0,1205.0,60.0,106.0,46.0,0.566,0.4424,0.4716,0.3633,0.3427,0.7746,0.7268,0.9434,122.80548387096776,96.53999999999999,144.7,147.785,90.48,1.1602,2026-05-20 21:04:34.213813,115.9,1.05,121.7,264.6
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,RIO-SAO,SAO-RIO,semi leito,NOITE,2622.0,2989.0,3344.0,2055.0,50.0,108.0,58.0,0.463,0.6172,0.5326,0.5864,0.6772,1.0971,1.2715,1.1548,135.67759562841536,96.53999999999999,144.7,147.785,153.62,1.5289,2026-05-20 21:04:34.213813,129.9,1.6662314183827254,216.44,264.6
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,RIO-STS,RIO-STS,semi leito,NOITE,145.0,369.0,80.0,107.0,22.0,56.0,34.0,0.3929,0.5257,0.7617,0.2511,0.3765,0.7161,0.4942,1.499,205.39000000000001,101.96,203.19,108.35,104.49,1.1802349206349207,,142.9,0.999999999960943,142.9,353.09
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,RIO-UDI,RIO-UDI,semi leito,NOITE,135.0,135.0,249.0,170.0,34.0,56.0,22.0,0.6071,0.512,0.3059,0.4141,0.5115,0.9989,1.6722,1.235,273.0,182.78500000000003,225.5,210.135,183.81,1.2636,2026-05-20 21:04:34.213813,214.9,1.3794000000000002,296.43,549.45
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,RIO-UDI,UDI-RIO,semi leito,NOITE,370.0,427.0,416.0,190.0,25.0,56.0,31.0,0.4464,0.7272,0.618,0.7183,0.3256,0.4478,0.5268,0.4533,302.1333333333334,182.78500000000003,225.5,210.135,193.22,1.3673,2026-05-20 21:04:34.213813,244.9,1.375,336.74,549.45
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,RIO-VIX,RIO-VIX,semi leito,NOITE,291.0,379.0,328.0,298.0,28.0,57.0,29.0,0.4912,0.2703,0.3407,0.4237,0.4685,1.7331,1.3751,1.1057,147.26263157894732,92.14,147.85500000000002,155.72,103.22,1.1409,2026-05-20 21:04:34.213813,115.9,1.206975,139.89,334.53
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,RIO-VIX,VIX-RIO,semi leito,NOITE,399.0,548.0,517.0,326.0,35.0,60.0,25.0,0.5833,0.337,0.6585,0.6547,0.4655,1.3813,0.7069,0.7109,154.6654545454545,92.14,147.85500000000002,155.72,99.81,1.1673,2026-05-20 21:04:34.213813,117.9,1.1548687499999999,136.16,334.53
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,SAO-SJK,SAO-SJK,semi leito,NOITE,97.0,186.0,135.0,118.0,,,,0.0,0.315,0.4572,0.2894,0.1245,0.3954,0.2724,0.4304,51.98648648648646,17.9,30.53,33.0,,1.177356005165734,,35.9,1.0,35.9,55.2
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,SAO-SJK,SJK-SAO,semi leito,NOITE,106.0,155.0,155.0,84.0,5.0,42.0,37.0,0.119,0.1875,0.2947,0.3147,0.1145,0.611,0.3886,0.3639,44.51973684210524,17.9,30.53,33.0,15.3,1.1118793103448283,,26.9,1.0,26.9,55.2
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,SAO-SJP,SAO-SJP,semi leito,NOITE,378.0,474.0,432.0,237.0,52.0,94.0,42.0,0.5532,0.4805,0.4486,0.2916,0.4742,0.9869,1.057,1.6261,173.50349999999997,93.0,136.815,113.83500000000001,112.61,1.1043,2026-05-20 21:04:34.213813,114.9,1.206975,138.68,177.6
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,SAO-SJP,SJP-SAO,semi leito,NOITE,384.0,508.0,741.0,247.0,41.0,93.0,52.0,0.4409,0.3071,0.3459,0.4782,0.3529,1.1493,1.0204,0.7381,166.01975609756087,93.0,136.815,113.83500000000001,110.41,1.1014,2026-05-20 21:04:34.213813,121.9,1.0,121.9,177.6
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,SAO-UDI,SAO-UDI,semi leito,NOITE,212.0,310.0,252.0,197.0,10.0,40.0,30.0,0.25,0.2764,0.5918,0.371,0.3055,1.1052,0.5162,0.8234,185.5759259259259,133.33,215.355,204.26,105.4,1.1785,2026-05-20 21:04:34.213813,134.9,1.105,149.06,301.0
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,SAO-UDI,UDI-SAO,semi leito,NOITE,358.0,495.0,635.0,221.0,2.0,41.0,39.0,0.0488,0.4145,0.7902,0.6694,0.2615,0.631,0.331,0.3907,171.63347826086948,133.33,215.355,204.26,104.4,1.1465,2026-05-20 21:04:34.213813,137.9,1.025,141.35,301.0
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,SAO-VIX,SAO-VIX,leito,NOITE,245.0,344.0,320.0,251.0,21.0,43.0,22.0,0.4884,0.1969,0.3007,0.4311,0.4191,2.1282,1.3935,0.972,250.87,228.2,259.875,220.325,193.0,1.4198582887700548,,266.9,1.2069892694510722,322.15,704.45
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,SAO-VIX,VIX-SAO,leito,NOITE,274.0,323.0,316.0,234.0,26.0,43.0,17.0,0.6047,0.4063,0.6654,0.3598,0.4943,1.2166,0.7428,1.3738,286.52,228.2,259.875,220.325,196.55,1.0762,2026-05-20 21:04:34.213813,211.9,1.4102351243749998,298.83,704.45
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,BAT-SAO,BAT-SAO,semi leito,TARDE,137.0,145.0,122.0,95.0,10.0,46.0,36.0,0.2174,0.3401,0.3604,0.263,0.1963,0.5773,0.5448,0.7466,241.45,83.18,88.34,95.69,74.0,1.0342,2026-05-20 21:04:34.213813,120.9,1.05,126.95,252.3
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,BHZ-DTI,DTI-BHZ,semi leito,TARDE,136.0,175.0,90.0,81.0,17.0,45.0,28.0,0.3778,0.32,0.0,0.2429,0.2848,0.8898,,1.1722,152.92,45.79,111.2,,57.02,1.0,,99.9,1.1025,110.14,189.44
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,BHZ-IPA,BHZ-IPA,semi leito,TARDE,159.0,437.0,243.0,163.0,5.0,46.0,41.0,0.1087,0.0956,0.36,0.1753,0.0806,0.8437,0.224,0.46,133.35,54.97,90.325,77.22,55.3,1.0865082922456284,,79.9,0.9500003124609374,75.91,154.7
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,BHZ-IPA,IPA-BHZ,semi leito,TARDE,168.0,233.0,453.0,135.0,4.0,46.0,42.0,0.087,0.1233,0.2235,0.3581,0.0729,0.5911,0.3261,0.2035,130.2775,54.97,90.325,77.22,54.9,1.1448,2026-05-20 21:04:34.213813,109.9,1.0,109.9,154.7
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,BHZ-MCL,BHZ-MCL,semi leito,TARDE,291.0,967.0,401.0,261.0,10.0,64.0,54.0,0.1563,0.4634,0.4431,0.3719,0.1493,0.3223,0.337,0.4015,195.95249999999996,,,,84.9,1.129865234375,,129.9,1.0,129.9,189.9
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,BHZ-RIO,BHZ-RIO,semi leito,TARDE,1666.0,4740.0,2990.0,1381.0,,,,0.0,0.5824,0.7515,0.5974,0.1445,0.2481,0.1922,0.2418,129.99,75.07,,,,1.0788538461538462,,119.9,0.9025,108.21,305.52
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,BHZ-RIO,RIO-BHZ,semi leito,TARDE,921.0,1369.0,1078.0,837.0,7.0,45.0,38.0,0.1556,0.0791,0.4572,0.4186,0.15,1.8971,0.3281,0.3583,134.99,75.07,,,67.76,1.0,,105.9,0.84181875,89.15,305.52
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,BHZ-SJK,SJK-BHZ,semi leito,TARDE,131.0,192.0,130.0,73.0,9.0,60.0,51.0,0.15,0.2667,0.2372,0.3426,0.1309,0.4908,0.5517,0.3821,149.99,118.99,184.91,174.5,180.23,1.2929961582196259,,151.9,0.9000000000000241,136.71,531.72
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,CAB-JDF,JDF-CAB,semi leito,TARDE,49.0,1274.0,311.0,96.0,6.0,44.0,38.0,0.1364,0.0,0.0,0.0,0.112,,,,153.14,,,,54.4,1.160326225490196,,79.9,0.95,75.91,154.16
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,CAB-RIO,CAB-RIO,semi leito,TARDE,122.0,111.0,115.0,61.0,11.0,45.0,34.0,0.2444,0.2045,0.3008,0.1376,0.2167,1.06,0.7204,1.5756,82.864,28.68,37.71,42.71,39.81,1.1765,2026-05-20 21:04:34.213813,59.9,1.0,59.9,105.57
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,CGR-SAO,CGR-SAO,semi leito,TARDE,233.0,737.0,652.0,416.0,25.0,60.0,35.0,0.4167,0.5222,0.5193,0.688,0.3926,0.7518,0.7559,0.5706,333.59999999999997,147.23,179.7,,131.18,1.0,,149.9,1.1024999845347458,165.26,431.29
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,CGR-SAO,SAO-CGR,semi leito,TARDE,206.0,517.0,382.0,345.0,22.0,60.0,38.0,0.3667,0.31,0.428,0.6406,0.3605,1.1628,0.8423,0.5628,339.311,147.23,179.7,,133.85,1.345057220496895,,192.9,1.1025,212.67,431.29
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,CMP-SAO,CMP-SAO,semi leito,TARDE,212.0,299.0,303.0,152.0,3.0,93.0,90.0,0.0323,0.1601,0.272,0.158,0.0342,0.2138,0.1258,0.2165,55.35600000000001,26.6,31.744999999999997,27.255,24.57,1.202024676225716,,45.9,1.0,45.9,41.8
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,CMP-SAO,SAO-CMP,semi leito,TARDE,228.0,268.0,202.0,138.0,12.0,92.0,80.0,0.1304,0.1739,0.2065,0.1413,0.1304,0.75,0.6316,0.9231,54.63968253968254,26.6,31.744999999999997,27.255,21.23,1.121124031007752,,33.9,1.0,33.9,41.8
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,CMP-SJK,CMP-SJK,semi leito,TARDE,4.0,11.0,13.0,13.0,9.0,46.0,37.0,0.1957,0.2713,0.2102,0.2227,0.0861,0.3174,0.4098,0.3868,86.7,31.47,36.37,,32.34,1.2111,2026-05-20 21:04:34.213813,45.9,1.0,45.9,83.0
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,CRG-SAO,CRG-SAO,semi leito,TARDE,82.0,114.0,226.0,62.0,13.0,42.0,29.0,0.3095,0.2425,0.3489,0.5043,0.157,0.6476,0.4501,0.3114,98.5,42.41,41.59,54.03,41.82,1.0,,45.9,1.0,45.9,164.71
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,GVS-SAO,GVS-SAO,semi leito,TARDE,107.0,127.0,148.0,63.0,34.0,64.0,30.0,0.5313,0.4864,0.4356,0.5111,0.3923,0.8065,0.9004,0.7675,248.26611111111117,,164.27,158.6,147.75,1.182,2026-05-20 21:04:34.213813,154.9,1.258905099375,195.0,419.4
